dataset,model,poplift_low,poplift_medium,poplift_high,gap_low_high,gap_low_medium,gap_medium_high
gowalla,gowalla_sample-BPR-Oct-07-2024_14-53-37,2.3315692307692304,0.6562053122896692,0.021203052040936372,2.310366178728294,1.6753639184795612,0.6350022602487327
gowalla,gowalla_sample-BPR-Sep-11-2024_21-42-23,2.3315692307692304,0.6562053122896692,0.02120305204093649,2.310366178728294,1.6753639184795612,0.6350022602487326
gowalla,gowalla_sample-ItemKNN-Oct-07-2024_14-50-19,-0.8345846153846153,-0.29947618443770296,-0.2918772762781938,0.5427073391064214,0.5351084309469123,0.0075989081595091434
gowalla,gowalla_sample-ItemKNN-Sep-11-2024_21-53-26,-0.8345846153846153,-0.29947618443770296,-0.29187727627819376,0.5427073391064214,0.5351084309469123,0.007598908159509199
gowalla,gowalla_sample-SimpleX-Oct-07-2024_14-41-36,2.4220307692307697,0.47063608962415976,-0.2180375762029273,2.640068345433697,1.95139467960661,0.6886736658270871
gowalla,gowalla_sample-SimpleX-Sep-11-2024_21-46-59,2.4220307692307697,0.47063608962415976,-0.21803757620292719,2.640068345433697,1.95139467960661,0.6886736658270869
gowalla,gowalla_sample-debias-MACR-Aug-22-2024_15-25-42,2.8976000000000006,1.069096832720427,0.03597099205598971,2.861629007944011,1.8285031672795735,1.0331258406644375
gowalla,gowalla_sample-debias-MACR-Oct-07-2024_14-58-15,2.8976000000000006,1.069096832720427,0.035970992055989595,2.861629007944011,1.8285031672795735,1.0331258406644375
gowalla,gowalla_sample-debias-PDA-Aug-22-2024_15-22-15,2.861415384615385,2.84128290917604,-0.07109657305314672,2.9325119576685315,0.020132475439345043,2.9123794822291864
gowalla,gowalla_sample-debias-PDA-Oct-07-2024_15-00-17,2.861415384615385,2.84128290917604,-0.07109657305314683,2.932511957668532,0.020132475439345043,2.912379482229187
gowalla,gowalla_sample-contextpoi-LORE-Sep-16-2024_09-00-00,0.054523076923077056,-0.03504004213935233,-0.6935652446876438,0.7480883216107208,0.08956311906242939,0.6585252025482915
gowalla,gowalla_sample-contextpoi-USG-Sep-16-2024_09-00-00,2.698584615384615,1.9180760264151315,0.35052811437662523,2.34805650100799,0.7805085889694836,1.5675479120385063
brightkite,brightkite_sample-BPR-Oct-07-2024_14-41-21,1.2113041635766495,0.6563251891355576,0.12139924627831884,1.0899049172983306,0.5549789744410919,0.5349259428572387
brightkite,brightkite_sample-BPR-Sep-11-2024_21-42-02,1.2113041635766495,0.6563251891355576,0.12139924627831884,1.0899049172983306,0.5549789744410919,0.5349259428572387
brightkite,brightkite_sample-ItemKNN-Oct-07-2024_14-41-17,-0.21218893435229927,-0.2418569833985932,-0.2459317800056793,0.03374284565338004,0.029668049046293943,0.004074796607086095
brightkite,brightkite_sample-ItemKNN-Sep-11-2024_21-42-21,-0.21218893435229927,-0.2418569833985932,-0.2459317800056793,0.03374284565338004,0.029668049046293943,0.004074796607086095
brightkite,brightkite_sample-SimpleX-Oct-07-2024_14-41-03,1.3482202936064573,0.3762468772700697,-0.11147476283757428,1.4596950564440316,0.9719734163363876,0.487721640107644
brightkite,brightkite_sample-SimpleX-Sep-11-2024_21-42-10,1.3482202936064573,0.3762468772700697,-0.11147476283757428,1.4596950564440316,0.9719734163363876,0.487721640107644
brightkite,brightkite_sample-debias-MACR-Aug-22-2024_15-22-09,1.163492181661479,0.7078338441912798,0.18169698078154112,0.9817952008799378,0.4556583374701991,0.5261368634097388
brightkite,brightkite_sample-debias-MACR-Oct-07-2024_14-57-55,1.163492181661479,0.7078338441912798,0.1816969807815409,0.981795200879938,0.4556583374701991,0.526136863409739
brightkite,brightkite_sample-debias-PDA-Aug-22-2024_15-21-55,1.2091308916714147,0.7850968267748627,0.17961774855729196,1.029513143114123,0.42403406489655204,0.6054790782175707
brightkite,brightkite_sample-debias-PDA-Oct-07-2024_14-58-07,1.2091308916714147,0.7850968267748627,0.17961774855729173,1.029513143114123,0.42403406489655204,0.605479078217571
brightkite,brightkite_sample-contextpoi-LORE-Sep-16-2024_09-00-00,0.05077696618114035,0.13480005669637346,0.061101511775096394,0.010324545593956042,0.0840230905152331,0.07369854492127706
brightkite,brightkite_sample-contextpoi-USG-Sep-16-2024_09-00-00,1.5503345807933155,1.2309686221009553,0.5122949044371391,1.0380396763561763,0.3193659586923603,0.7186737176638162
foursquaretky,foursquaretky_sample-BPR-Sep-11-2024_21-53-32,1.1264919366110162,2.4247288001571117,0.3363623719226669,0.7901295646883493,1.2982368635460955,2.088366428234445
foursquaretky,foursquaretky_sample-ItemKNN-Sep-11-2024_21-55-11,1.0762783771682276,2.6375457383250986,0.009504381287959643,1.066773995880268,1.561267361156871,2.628041357037139
foursquaretky,foursquaretky_sample-SimpleX-Sep-11-2024_21-53-53,1.8318355294089388,2.611050456866434,0.767258565533868,1.0645769638750708,0.7792149274574953,1.8437918913325662
foursquaretky,foursquaretky_sample-debias-MACR-Aug-22-2024_15-28-21,1.8462196219576545,2.237267561449569,0.8665677592841579,0.9796518626734967,0.39104793949191463,1.3706998021654113
foursquaretky,foursquaretky_sample-debias-MACR-Oct-07-2024_15-06-55,1.8462196219576545,2.237267561449569,0.8665677592841579,0.9796518626734967,0.39104793949191463,1.3706998021654113
foursquaretky,foursquaretky_sample-debias-PDA-Aug-22-2024_15-27-06,1.6307197626823529,1.9797220298513631,0.810932356622931,0.8197874060594219,0.3490022671690103,1.1687896732284322
